id,category_id,name,description,address,arrondissement,latitude,longitude,contact_telephone,contact_email,contact_website,built_year,architectural_style,historical_period,is_unesco,created_at,updated_at
201,3,Basilique Notre-Dame de Fourvière,Monument classé offrant un témoignage exceptionnel de l'art de bâtir éclectique.,"8 place de Fourvière, Lyon 5ème",Lyon 5ème,45.759259,4.823514,,,,1896,Éclectique,XIXe siècle,True,2025-05-24T00:46:16.330687,2025-05-24T00:46:16.330720
202,3,Théâtre Gallo-Romain de Fourvière,Bâtiment remarquable illustrant l'évolution architecturale lyonnaise au fil des siècles.,"17 rue Cleberg, Lyon 5ème",Lyon 5ème,45.768853,4.814151,04 78 39 94 18,,http://www.lyon.fr/patrimoine/theâtre-gallo-romain-de-fourviere,15,Romain,Antiquité,True,2025-05-24T00:46:16.330752,2025-05-24T00:46:16.330754
203,3,Cathédrale Saint-Jean-Baptiste,Monument classé offrant un témoignage exceptionnel de l'art de bâtir gothique et roman.,"Place Saint-Jean, Lyon 5ème",Lyon 5ème,45.754929,4.826301,,,,1480,Gothique et Roman,Moyen Âge,True,2025-05-24T00:46:16.330763,2025-05-24T00:46:16.330764
204,3,Opéra de Lyon,"Édifice patrimonial de style Contemporain, témoignage architectural de la période XXe siècle.","Place de la Comédie, Lyon 1er",Lyon 1er,45.754083,4.840341,,,,1993,Contemporain,XXe siècle,False,2025-05-24T00:46:16.330770,2025-05-24T00:46:16.330770
205,3,Hôtel de Ville de Lyon,Monument classé offrant un témoignage exceptionnel de l'art de bâtir classique français.,"1 place de la Comédie, Lyon 1er",Lyon 1er,45.768587,4.83255,,,http://www.lyon.fr/patrimoine/hôtel-de-ville-de-lyon,1655,Classique français,XVIIe siècle,True,2025-05-24T00:46:16.330779,2025-05-24T00:46:16.330780
206,3,Traboules du Vieux Lyon,Bâtiment remarquable illustrant l'évolution architecturale lyonnaise au fil des siècles.,"Vieux Lyon, Lyon 5ème",Lyon 5ème,45.762038,4.811783,04 77 95 25 12,,,1500,Renaissance,Renaissance,True,2025-05-24T00:46:16.330788,2025-05-24T00:46:16.330789
207,3,Église Saint-Nizier,Bâtiment remarquable illustrant l'évolution architecturale lyonnaise au fil des siècles.,"Place Saint-Nizier, Lyon 2ème",Lyon 2ème,45.754494,4.825404,,,http://www.lyon.fr/patrimoine/eglise-saint-nizier,1454,Gothique flamboyant,Moyen Âge,True,2025-05-24T00:46:16.330798,2025-05-24T00:46:16.330799
208,3,Église Saint-Paul,"Monument historique emblématique de Lyon, exemple remarquable d'architecture roman et gothique.","Place Gerson, Lyon 5ème",Lyon 5ème,45.763879,4.816584,04 77 39 19 57,,,1084,Roman et Gothique,Moyen Âge,True,2025-05-24T00:46:16.330807,2025-05-24T00:46:16.330807
209,3,Église Saint-Bonaventure,Bâtiment remarquable illustrant l'évolution architecturale lyonnaise au fil des siècles.,"Place des Cordeliers, Lyon 2ème",Lyon 2ème,45.748761,4.827008,04 76 16 95 31,,http://www.lyon.fr/patrimoine/eglise-saint-bonaventure,1327,Gothique,Moyen Âge,True,2025-05-24T00:46:16.330816,2025-05-24T00:46:16.330817
210,3,Église Saint-Georges,"Monument historique emblématique de Lyon, exemple remarquable d'architecture néo-gothique.","Place Saint-Georges, Lyon 5ème",Lyon 5ème,45.755957,4.811579,04 75 80 96 78,,http://www.lyon.fr/patrimoine/eglise-saint-georges,1844,Néo-gothique,XIXe siècle,False,2025-05-24T00:46:16.330825,2025-05-24T00:46:16.330826
211,3,Temple du Change,"Édifice patrimonial de style Classique, témoignage architectural de la période XVIIe siècle.","Rue de la Loge, Lyon 2ème",Lyon 2ème,45.751066,4.831735,04 74 62 61 96,,http://www.lyon.fr/patrimoine/temple-du-change,1631,Classique,XVIIe siècle,True,2025-05-24T00:46:16.330833,2025-05-24T00:46:16.330834
212,3,Église Sainte-Croix,"Site d'intérêt architectural majeur, représentatif du patrimoine xviiie siècle lyonnais.","Rue Sainte-Croix, Lyon 1er",Lyon 1er,45.763941,4.825832,,,,1745,Baroque,XVIIIe siècle,False,2025-05-24T00:46:16.330839,2025-05-24T00:46:16.330840
213,3,Tour Rose,"Monument historique emblématique de Lyon, exemple remarquable d'architecture renaissance.","Rue du Bœuf, Lyon 5ème",Lyon 5ème,45.755132,4.815137,04 77 36 48 42,,http://www.lyon.fr/patrimoine/tour-rose,1550,Renaissance,Renaissance,True,2025-05-24T00:46:16.330848,2025-05-24T00:46:16.330849
214,3,Maison des Avocats,"Édifice patrimonial de style Renaissance, témoignage architectural de la période Renaissance.","Place du Change, Lyon 5ème",Lyon 5ème,45.759242,4.82947,04 78 32 41 85,,,1516,Renaissance,Renaissance,True,2025-05-24T00:46:16.330855,2025-05-24T00:46:16.330856
215,3,Hôtel de Gadagne,"Monument historique emblématique de Lyon, exemple remarquable d'architecture renaissance.","Place du Petit Collège, Lyon 5ème",Lyon 5ème,45.759029,4.811667,04 74 36 27 80,,http://www.lyon.fr/patrimoine/hôtel-de-gadagne,1545,Renaissance,Renaissance,True,2025-05-24T00:46:16.330865,2025-05-24T00:46:16.330865
216,3,Palais de Justice,Monument classé offrant un témoignage exceptionnel de l'art de bâtir néo-classique.,"Quai Romain Rolland, Lyon 5ème",Lyon 5ème,45.757363,4.829492,04 78 62 68 82,,,1847,Néo-classique,XIXe siècle,True,2025-05-24T00:46:16.330872,2025-05-24T00:46:16.330873
217,3,Préfecture du Rhône,"Site d'intérêt architectural majeur, représentatif du patrimoine xixe siècle lyonnais.","Place de la République, Lyon 2ème",Lyon 2ème,45.749412,4.837737,04 78 44 86 35,,http://www.lyon.fr/patrimoine/prefecture-du-rhône,1890,Éclectique,XIXe siècle,False,2025-05-24T00:46:16.330884,2025-05-24T00:46:16.330884
218,3,Hôtel des Postes,Bâtiment remarquable illustrant l'évolution architecturale lyonnaise au fil des siècles.,"Place Antonin Poncet, Lyon 2ème",Lyon 2ème,45.744371,4.825872,04 76 55 60 88,,http://www.lyon.fr/patrimoine/hôtel-des-postes,1938,Art Déco,XXe siècle,False,2025-05-24T00:46:16.330892,2025-05-24T00:46:16.330893
219,3,Halles de Lyon Paul Bocuse,"Monument historique emblématique de Lyon, exemple remarquable d'architecture moderne.","102 cours Lafayette, Lyon 3ème",Lyon 3ème,45.756429,4.837509,04 74 76 62 33,,,1971,Moderne,XXe siècle,False,2025-05-24T00:46:16.330900,2025-05-24T00:46:16.330901
220,3,Tour Incity,Bâtiment remarquable illustrant l'évolution architecturale lyonnaise au fil des siècles.,"Rue Servient, Lyon 3ème",Lyon 3ème,45.753027,4.842912,04 78 11 83 99,,http://www.lyon.fr/patrimoine/tour-incity,2015,Contemporain,XXIe siècle,False,2025-05-24T00:46:16.330908,2025-05-24T00:46:16.330909
221,3,Musée des Confluences,"Site d'intérêt architectural majeur, représentatif du patrimoine xxie siècle lyonnais.","86 quai Perrache, Lyon 2ème",Lyon 2ème,45.760295,4.840699,,,,2014,Déconstructiviste,XXIe siècle,False,2025-05-24T00:46:16.330913,2025-05-24T00:46:16.330914
222,3,Gare de Lyon-Part-Dieu,"Édifice patrimonial de style Moderne, témoignage architectural de la période XXe siècle.","Place Charles Béraudier, Lyon 3ème",Lyon 3ème,45.765358,4.844758,,,http://www.lyon.fr/patrimoine/gare-de-lyon-part-dieu,1983,Moderne,XXe siècle,False,2025-05-24T00:46:16.330920,2025-05-24T00:46:16.330921
223,3,Centre commercial Part-Dieu,"Monument historique emblématique de Lyon, exemple remarquable d'architecture moderne.","17 rue du Docteur Bouchut, Lyon 3ème",Lyon 3ème,45.753621,4.848797,04 72 96 63 61,,http://www.lyon.fr/patrimoine/centre-commercial-part-dieu,1975,Moderne,XXe siècle,False,2025-05-24T00:46:16.330927,2025-05-24T00:46:16.330928
224,3,Pont Bonaparte,Monument classé offrant un témoignage exceptionnel de l'art de bâtir néo-classique.,"Entre 1er et 5ème, Lyon 1er",Lyon 1er,45.766256,4.836156,,,http://www.lyon.fr/patrimoine/pont-bonaparte,1855,Néo-classique,XIXe siècle,False,2025-05-24T00:46:16.330933,2025-05-24T00:46:16.330934
225,3,Passerelle du Palais de Justice,"Édifice patrimonial de style Suspendu, témoignage architectural de la période XIXe siècle.","Entre 5ème et 1er, Lyon 5ème",Lyon 5ème,45.764091,4.825531,04 75 34 43 59,,,1845,Suspendu,XIXe siècle,True,2025-05-24T00:46:16.330941,2025-05-24T00:46:16.330942
226,3,Pont de la Guillotière,"Monument historique emblématique de Lyon, exemple remarquable d'architecture moderne.","Entre 3ème et 7ème, Lyon 3ème",Lyon 3ème,45.763435,4.842397,,,http://www.lyon.fr/patrimoine/pont-de-la-guillotiere,1958,Moderne,XXe siècle,False,2025-05-24T00:46:16.330948,2025-05-24T00:46:16.330949
227,3,Pont Wilson,"Site d'intérêt architectural majeur, représentatif du patrimoine xxe siècle lyonnais.","Entre 6ème et 1er, Lyon 6ème",Lyon 6ème,45.776252,4.842208,04 77 94 51 43,,,1918,Béton armé,XXe siècle,False,2025-05-24T00:46:16.330960,2025-05-24T00:46:16.330961
228,3,Passerelle du Collège,Monument classé offrant un témoignage exceptionnel de l'art de bâtir suspendu.,"Entre 5ème et 2ème, Lyon 5ème",Lyon 5ème,45.759304,4.81596,,,http://www.lyon.fr/patrimoine/passerelle-du-college,1830,Suspendu,XIXe siècle,False,2025-05-24T00:46:16.330966,2025-05-24T00:46:16.330967
229,3,Place Bellecour,"Site d'intérêt architectural majeur, représentatif du patrimoine xviiie siècle lyonnais.","Place Bellecour, Lyon 2ème",Lyon 2ème,45.747822,4.841643,04 75 72 85 22,,http://www.lyon.fr/patrimoine/place-bellecour,1715,Classique,XVIIIe siècle,True,2025-05-24T00:46:16.330973,2025-05-24T00:46:16.330974
230,3,Place des Terreaux,"Monument historique emblématique de Lyon, exemple remarquable d'architecture classique.","Place des Terreaux, Lyon 1er",Lyon 1er,45.772816,4.834235,,,http://www.lyon.fr/patrimoine/place-des-terreaux,1658,Classique,XVIIe siècle,True,2025-05-24T00:46:16.330979,2025-05-24T00:46:16.330980
231,3,Place des Jacobins,"Site d'intérêt architectural majeur, représentatif du patrimoine renaissance lyonnais.","Place des Jacobins, Lyon 2ème",Lyon 2ème,45.748415,4.839887,04 76 81 20 62,,,1556,Renaissance,Renaissance,True,2025-05-24T00:46:16.330986,2025-05-24T00:46:16.330987
232,3,Rue de la République,"Édifice patrimonial de style Haussmannien, témoignage architectural de la période XIXe siècle.","Rue de la République, Lyon 2ème",Lyon 2ème,45.753257,4.828498,,,,1860,Haussmannien,XIXe siècle,False,2025-05-24T00:46:16.330992,2025-05-24T00:46:16.330993
233,3,Quartier de la Croix-Rousse,Monument classé offrant un témoignage exceptionnel de l'art de bâtir industriel.,"Pentes de la Croix-Rousse, Lyon 1er",Lyon 1er,45.769016,4.836927,,,,1850,Industriel,XIXe siècle,True,2025-05-24T00:46:16.330997,2025-05-24T00:46:16.330998
234,3,Statue de Louis XIV,"Site d'intérêt architectural majeur, représentatif du patrimoine xixe siècle lyonnais.","Place Bellecour, Lyon 2ème",Lyon 2ème,45.747205,4.831717,04 72 21 87 64,,,1825,Néo-classique,XIXe siècle,False,2025-05-24T00:46:16.331005,2025-05-24T00:46:16.331006
235,3,Monument aux Morts,"Site d'intérêt architectural majeur, représentatif du patrimoine xxe siècle lyonnais.","Place Bellecour, Lyon 2ème",Lyon 2ème,45.755795,4.838232,04 72 92 87 68,,,1923,Art Déco,XXe siècle,False,2025-05-24T00:46:16.331014,2025-05-24T00:46:16.331015
236,3,Fontaine Bartholdi,Bâtiment remarquable illustrant l'évolution architecturale lyonnaise au fil des siècles.,"Place des Terreaux, Lyon 1er",Lyon 1er,45.772109,4.831563,,,,1892,Sculpture,XIXe siècle,False,2025-05-24T00:46:16.331019,2025-05-24T00:46:16.331020
237,3,Mur des Canuts,Bâtiment remarquable illustrant l'évolution architecturale lyonnaise au fil des siècles.,"Boulevard des Canuts, Lyon 4ème",Lyon 4ème,45.771841,4.825963,,,http://www.lyon.fr/patrimoine/mur-des-canuts,1987,Trompe-l'œil,XXe siècle,False,2025-05-24T00:46:16.331027,2025-05-24T00:46:16.331028
238,3,Fresque des Lyonnais,"Édifice patrimonial de style Trompe-l'œil, témoignage architectural de la période XXe siècle.","Angle quai Saint-Vincent, Lyon 1er",Lyon 1er,45.768015,4.832324,,,,1995,Trompe-l'œil,XXe siècle,False,2025-05-24T00:46:16.331033,2025-05-24T00:46:16.331033
